Format Version,1.21,Take Name,testrit 4 21-4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.48.20 AM,Total Frames in Take,833,Total Exported Frames,833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
160,1.333333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
161,1.341667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
162,1.350000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
163,1.358333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
164,1.366667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
165,1.375000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
166,1.383333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
167,1.391667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
168,1.400000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
169,1.408333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
170,1.416667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
171,1.425000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
172,1.433333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
173,1.441667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
174,1.450000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
175,1.458333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
176,1.466667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
177,1.475000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
178,1.483333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
179,1.491667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
180,1.500000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
181,1.508333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
182,1.516667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
183,1.525000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
184,1.533333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
185,1.541667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
186,1.550000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
187,1.558333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
188,1.566667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
189,1.575000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
190,1.583333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
191,1.591667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
192,1.600000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
193,1.608333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
194,1.616667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
195,1.625000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
196,1.633333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
197,1.641667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
198,1.650000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
199,1.658333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
200,1.666667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
201,1.675000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
202,1.683333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
